agent,budget,distribution,horizon,size,time,total_simulations,variable,value
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,0,100,acceptance_rate,0.5
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,0,100,accumulated_reward,0.0
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,0,100,available_budget,150.0
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,0,100,threshold,0.0
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,1,100,acceptance_rate,0.47333328
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,1,100,accumulated_reward,0.2
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,1,100,available_budget,149.86
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,1,100,threshold,0.0
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,2,100,acceptance_rate,0.44749993
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,2,100,accumulated_reward,0.39
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,2,100,available_budget,149.7
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,2,100,threshold,0.0
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,3,100,acceptance_rate,0.40749993
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,3,100,accumulated_reward,0.51
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,3,100,available_budget,149.62
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,3,100,threshold,0.0
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,4,100,acceptance_rate,0.38333323999999996
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,4,100,accumulated_reward,0.6
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,4,100,available_budget,149.54
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,4,100,threshold,0.0
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,5,100,acceptance_rate,0.36723801
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,5,100,accumulated_reward,0.77
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,5,100,available_budget,149.43
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,5,100,threshold,0.0
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,6,100,acceptance_rate,0.35832135
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,6,100,accumulated_reward,0.87
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,6,100,available_budget,149.35
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,6,100,threshold,0.0
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,7,100,acceptance_rate,0.34680947
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,7,100,accumulated_reward,0.96
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,7,100,available_budget,149.26
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,7,100,threshold,0.0
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,8,100,acceptance_rate,0.333119
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,8,100,accumulated_reward,1.05
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,8,100,available_budget,149.2
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,8,100,threshold,0.0
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,9,100,acceptance_rate,0.32720631
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,9,100,accumulated_reward,1.2
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,9,100,available_budget,149.12
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,9,100,threshold,0.0
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,10,100,acceptance_rate,0.32381740999999997
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,10,100,accumulated_reward,1.35
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,10,100,available_budget,149.01
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,10,100,threshold,0.0
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,11,100,acceptance_rate,0.315369
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,11,100,accumulated_reward,1.4
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,11,100,available_budget,148.96
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,11,100,threshold,0.0
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,12,100,acceptance_rate,0.30801184
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,12,100,accumulated_reward,1.46
greedy,150,centeredbino_l-5_u4_n6_k1,500,10,12,100,available_budget,148.91
