agent,budget,distribution,horizon,size,time,total_simulations,variable,value
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,15,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,16,100,acceptance_rate,0.31160738000000004
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,16,100,accumulated_reward,2.01
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,16,100,available_budget,48.42
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,16,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,17,100,acceptance_rate,0.31091996
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,17,100,accumulated_reward,2.14
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,17,100,available_budget,48.32
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,17,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,18,100,acceptance_rate,0.30663909
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,18,100,accumulated_reward,2.19
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,18,100,available_budget,48.29
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,18,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,19,100,acceptance_rate,0.30627951
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,19,100,accumulated_reward,2.28
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,19,100,available_budget,48.23
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,19,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,20,100,acceptance_rate,0.30508187
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,20,100,accumulated_reward,2.38
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,20,100,available_budget,48.15
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,20,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,21,100,acceptance_rate,0.30530359
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,21,100,accumulated_reward,2.5
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,21,100,available_budget,48.06
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,21,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,22,100,acceptance_rate,0.3060419
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,22,100,accumulated_reward,2.63
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,22,100,available_budget,47.96
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,22,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,23,100,acceptance_rate,0.30389237
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,23,100,accumulated_reward,2.73
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,23,100,available_budget,47.88
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,23,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,24,100,acceptance_rate,0.30228963
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,24,100,accumulated_reward,2.81
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,24,100,available_budget,47.82
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,24,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,25,100,acceptance_rate,0.29880517
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,25,100,accumulated_reward,2.87
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,25,100,available_budget,47.76
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,25,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,26,100,acceptance_rate,0.29456231
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,26,100,accumulated_reward,2.95
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,26,100,available_budget,47.7
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,26,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,27,100,acceptance_rate,0.29308565999999997
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,27,100,accumulated_reward,3.1
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,27,100,available_budget,47.59
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,27,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,28,100,acceptance_rate,0.29185417
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,28,100,accumulated_reward,3.2
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,28,100,available_budget,47.51
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,28,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,29,100,acceptance_rate,0.29634105
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,29,100,accumulated_reward,3.36
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,29,100,available_budget,47.39
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,29,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,30,100,acceptance_rate,0.29291771
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,30,100,accumulated_reward,3.45
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,30,100,available_budget,47.33
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,30,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,31,100,acceptance_rate,0.29205907
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,31,100,accumulated_reward,3.57
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,31,100,available_budget,47.24
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,31,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,32,100,acceptance_rate,0.29517437
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,32,100,accumulated_reward,3.72
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,32,100,available_budget,47.11
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,32,100,threshold,0.0
