agent,budget,distribution,horizon,size,time,total_simulations,variable,value
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,0,100,acceptance_rate,0.5
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,0,100,accumulated_reward,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,0,100,available_budget,350.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,0,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,1,100,acceptance_rate,0.44999989999999995
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,1,100,accumulated_reward,0.16
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,1,100,available_budget,349.87
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,1,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,2,100,acceptance_rate,0.42583323
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,2,100,accumulated_reward,0.29
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,2,100,available_budget,349.75
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,2,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,3,100,acceptance_rate,0.40449988
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,3,100,accumulated_reward,0.42
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,3,100,available_budget,349.64
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,3,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,4,100,acceptance_rate,0.38449989
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,4,100,accumulated_reward,0.6
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,4,100,available_budget,349.53
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,4,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,5,100,acceptance_rate,0.37571420000000005
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,5,100,accumulated_reward,0.75
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,5,100,available_budget,349.41
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,5,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,6,100,acceptance_rate,0.36052377
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,6,100,accumulated_reward,0.89
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,6,100,available_budget,349.3
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,6,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,7,100,acceptance_rate,0.34592852
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,7,100,accumulated_reward,0.99
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,7,100,available_budget,349.23
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,7,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,8,100,acceptance_rate,0.3471666
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,8,100,accumulated_reward,1.15
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,8,100,available_budget,349.09
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,8,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,9,100,acceptance_rate,0.35330547
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,9,100,accumulated_reward,1.4
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,9,100,available_budget,348.92
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,9,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,10,100,acceptance_rate,0.35516262
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,10,100,accumulated_reward,1.64
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,10,100,available_budget,348.74
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,10,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,11,100,acceptance_rate,0.35138848
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,11,100,accumulated_reward,1.78
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,11,100,available_budget,348.64
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,11,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,12,100,acceptance_rate,0.34065544000000003
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,12,100,accumulated_reward,1.88
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,12,100,available_budget,348.56
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,12,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,13,100,acceptance_rate,0.33695997
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,13,100,accumulated_reward,2.02
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,13,100,available_budget,348.47
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,13,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,14,100,acceptance_rate,0.33623448000000006
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,14,100,accumulated_reward,2.16
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,14,100,available_budget,348.35
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,14,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,15,100,acceptance_rate,0.33590737
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,15,100,accumulated_reward,2.35
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,15,100,available_budget,348.22
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,15,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,16,100,acceptance_rate,0.33255217000000004
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,16,100,accumulated_reward,2.44
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,16,100,available_budget,348.17
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,16,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,17,100,acceptance_rate,0.3253328
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,17,100,accumulated_reward,2.56
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,17,100,available_budget,348.1
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,17,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,18,100,acceptance_rate,0.32205695
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,18,100,accumulated_reward,2.68
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,18,100,available_budget,348.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,18,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,19,100,acceptance_rate,0.32711097
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,19,100,accumulated_reward,2.88
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,19,100,available_budget,347.85
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,19,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,20,100,acceptance_rate,0.32151961999999995
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,20,100,accumulated_reward,2.93
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,20,100,available_budget,347.8
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,20,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,21,100,acceptance_rate,0.31423203
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,21,100,accumulated_reward,2.97
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,21,100,available_budget,347.76
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,21,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,22,100,acceptance_rate,0.31412311
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,22,100,accumulated_reward,3.14
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,22,100,available_budget,347.65
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,22,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,23,100,acceptance_rate,0.30857921
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,23,100,accumulated_reward,3.17
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,23,100,available_budget,347.62
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,23,100,threshold,0.0
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,24,100,acceptance_rate,0.30296088
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,24,100,accumulated_reward,3.24
greedy,350,centeredbino_l-5_u4_n6_k1,500,10,24,100,available_budget,347.56
