agent,budget,distribution,horizon,size,time,total_simulations,variable,value
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,0,100,acceptance_rate,0.5
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,0,100,accumulated_reward,0.0
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,0,100,available_budget,250.0
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,0,100,threshold,0.0
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,1,100,acceptance_rate,0.46166659000000004
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,1,100,accumulated_reward,0.14
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,1,100,available_budget,249.87
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,1,100,threshold,0.0
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,2,100,acceptance_rate,0.44833323999999997
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,2,100,accumulated_reward,0.29
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,2,100,available_budget,249.73
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,2,100,threshold,0.0
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,3,100,acceptance_rate,0.42449989000000005
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,3,100,accumulated_reward,0.41
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,3,100,available_budget,249.62
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,3,100,threshold,0.0
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,4,100,acceptance_rate,0.40666659000000005
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,4,100,accumulated_reward,0.56
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,4,100,available_budget,249.5
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,4,100,threshold,0.0
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,5,100,acceptance_rate,0.38273802
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,5,100,accumulated_reward,0.7
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,5,100,available_budget,249.4
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,5,100,threshold,0.0
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,6,100,acceptance_rate,0.36974992
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,6,100,accumulated_reward,0.81
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,6,100,available_budget,249.32
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,6,100,threshold,0.0
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,7,100,acceptance_rate,0.35386501000000004
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,7,100,accumulated_reward,0.92
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,7,100,available_budget,249.23
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,7,100,threshold,0.0
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,8,100,acceptance_rate,0.33953959
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,8,100,accumulated_reward,0.98
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,8,100,available_budget,249.18
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,8,100,threshold,0.0
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,9,100,acceptance_rate,0.32681739
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,9,100,accumulated_reward,1.04
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,9,100,available_budget,249.14
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,9,100,threshold,0.0
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,10,100,acceptance_rate,0.32618245
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,10,100,accumulated_reward,1.19
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,10,100,available_budget,249.01
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,10,100,threshold,0.0
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,11,100,acceptance_rate,0.31937511
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,11,100,accumulated_reward,1.3
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,11,100,available_budget,248.93
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,11,100,threshold,0.0
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,12,100,acceptance_rate,0.31634806
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,12,100,accumulated_reward,1.48
greedy,250,centeredbino_l-5_u4_n6_k1,500,10,12,100,available_budget,248.82
